type	pro_type	time	N	value	sd	se	ci	ID	parameter	ID_type	parameter1
P	NATL1A	0	3	7.084638703	0.016244649	0.009378852	0.040353945	NATL1A_P_0	Total	NATL1A_P	Total
P	NATL1A	3	3	7.124087346	0.076356064	0.044084194	0.189678978	NATL1A_P_3	Total	NATL1A_P	Total
P	NATL1A	6	3	7.70927051	0.025434205	0.014684445	0.063182068	NATL1A_P_6	Total	NATL1A_P	Total
P	NATL1A	9	3	8.058425512	0.032760183	0.0189141	0.081380805	NATL1A_P_9	Total	NATL1A_P	Total
P	NATL1A	12	3	8.154151424	0.032539343	0.018786599	0.08083221	NATL1A_P_12	Total	NATL1A_P	Total
P	NATL1A	14	3	8.248059037	0.013768672	0.007949346	0.034203277	NATL1A_P_14	Total	NATL1A_P	Total
P	NATL1A	18	3	8.331939097	0.02006759	0.011586028	0.049850656	NATL1A_P_18	Total	NATL1A_P	Total
P	NATL1A	21	3	8.324129491	0.002768988	0.001598676	0.006878548	NATL1A_P_21	Total	NATL1A_P	Total
P	NATL1A	24	3	8.388592301	0.055322197	0.031940285	0.137427955	NATL1A_P_24	Total	NATL1A_P	Total
P	NATL1A	30	3	8.459183131	0.011082329	0.006398386	0.027530031	NATL1A_P_30	Total	NATL1A_P	Total
P	NATL1A	33	3	8.447502671	0.08758888	0.050569464	0.21758284	NATL1A_P_33	Total	NATL1A_P	Total
P	NATL1A	36	3	8.544611023	0.016425737	0.009483404	0.040803794	NATL1A_P_36	Total	NATL1A_P	Total
P	NATL1A	42	3	8.533034276	0.015419894	0.00890268	0.038305139	NATL1A_P_42	Total	NATL1A_P	Total
P	NATL1A	45	2	8.604161826	0.034706456	0.024541171	0.311825137	NATL1A_P_45	Total	NATL1A_P	Total
P	NATL1A	48	3	8.558132924	0.008091521	0.004671642	0.020100452	NATL1A_P_48	Total	NATL1A_P	Total
P	NATL1A	51	3	8.65280809	0.007617961	0.004398232	0.018924065	NATL1A_P_51	Total	NATL1A_P	Total
PA	NATL1A	0	3	7.084089766	0.049221559	0.02841808	0.12227313	NATL1A_PA_0	Total	NATL1A_PA	Total
PA	NATL1A	3	3	7.369885984	0.012529154	0.007233711	0.031124145	NATL1A_PA_3	Total	NATL1A_PA	Total
PA	NATL1A	6	3	7.685971613	0.041270382	0.023827466	0.102521312	NATL1A_PA_6	Total	NATL1A_PA	Total
PA	NATL1A	9	3	7.915198737	0.036594402	0.021127788	0.090905534	NATL1A_PA_9	Total	NATL1A_PA	Total
PA	NATL1A	12	3	8.359082516	0.009275192	0.005355035	0.023040854	NATL1A_PA_12	Total	NATL1A_PA	Total
PA	NATL1A	14	3	8.188873276	0.041039877	0.023694384	0.101948706	NATL1A_PA_14	Total	NATL1A_PA	Total
PA	NATL1A	18	3	8.194916579	0.036149634	0.020871001	0.08980067	NATL1A_PA_18	Total	NATL1A_PA	Total
PA	NATL1A	21	3	8.3282857	0.009220149	0.005323255	0.022904119	NATL1A_PA_21	Total	NATL1A_PA	Total
PA	NATL1A	24	3	8.376461426	0.006676263	0.003854542	0.016584756	NATL1A_PA_24	Total	NATL1A_PA	Total
PA	NATL1A	30	3	8.54688193	0.02671349	0.015423041	0.066359988	NATL1A_PA_30	Total	NATL1A_PA	Total
PA	NATL1A	33	3	8.455181499	0.015394915	0.008888258	0.038243088	NATL1A_PA_33	Total	NATL1A_PA	Total
PA	NATL1A	36	3	8.580787998	0.016114982	0.009303989	0.040031834	NATL1A_PA_36	Total	NATL1A_PA	Total
PA	NATL1A	42	3	8.523532861	0.025002909	0.014435436	0.062110669	NATL1A_PA_42	Total	NATL1A_PA	Total
PA	NATL1A	45	3	8.631242251	0.015320808	0.008845472	0.038058996	NATL1A_PA_45	Total	NATL1A_PA	Total
PA	NATL1A	48	3	8.641921136	0.012971982	0.007489377	0.03222419	NATL1A_PA_48	Total	NATL1A_PA	Total
PA	NATL1A	51	3	8.611571959	0.014968509	0.008642073	0.037183838	NATL1A_PA_51	Total	NATL1A_PA	Total
PAC	NATL1A	0	3	7.089548433	0.030464312	0.017588579	0.075677546	NATL1A_PAC_0	Total	NATL1A_PAC	Total
PAC	NATL1A	3	3	7.225301765	0.0589702	0.034046461	0.146490099	NATL1A_PAC_3	Total	NATL1A_PAC	Total
PAC	NATL1A	6	3	7.140313911	0.009738348	0.005622438	0.024191398	NATL1A_PAC_6	Total	NATL1A_PAC	Total
PAC	NATL1A	9	3	7.181918867	0.043240105	0.024964686	0.107414375	NATL1A_PAC_9	Total	NATL1A_PAC	Total
PAC	NATL1A	12	3	7.237351294	0.017916274	0.010343966	0.044506493	NATL1A_PAC_12	Total	NATL1A_PAC	Total
PAC	NATL1A	14	3	7.199976342	0.021366813	0.012336135	0.053078106	NATL1A_PAC_14	Total	NATL1A_PAC	Total
PAC	NATL1A	18	3	7.178901535	0.018750088	0.010825369	0.046577802	NATL1A_PAC_18	Total	NATL1A_PAC	Total
PAC	NATL1A	21	3	7.162589341	0.016163569	0.009332041	0.04015253	NATL1A_PAC_21	Total	NATL1A_PAC	Total
PAC	NATL1A	24	3	7.160296313	0.024378343	0.014074843	0.06055916	NATL1A_PAC_24	Total	NATL1A_PAC	Total
PAC	NATL1A	30	3	7.32290459	0.030265134	0.017473583	0.07518276	NATL1A_PAC_30	Total	NATL1A_PAC	Total
PAC	NATL1A	33	3	7.473172403	0.085692629	0.049474663	0.212872292	NATL1A_PAC_33	Total	NATL1A_PAC	Total
PAC	NATL1A	36	3	7.757977503	0.088264802	0.050959707	0.219261923	NATL1A_PAC_36	Total	NATL1A_PAC	Total
PAC	NATL1A	42	3	8.007434689	0.0745295	0.043029627	0.185141543	NATL1A_PAC_42	Total	NATL1A_PAC	Total
PAC	NATL1A	45	3	8.204079338	0.09788871	0.056516073	0.243169036	NATL1A_PAC_45	Total	NATL1A_PAC	Total
PAC	NATL1A	48	3	8.272146132	0.024017636	0.013866588	0.059663114	NATL1A_PAC_48	Total	NATL1A_PAC	Total
PAC	NATL1A	51	3	8.308286701	0.007107457	0.004103492	0.017655901	NATL1A_PAC_51	Total	NATL1A_PAC	Total
PAR	NATL1A	0	3	6.996860976	0.045701303	0.026385659	0.113528329	NATL1A_PAR_0	Total	NATL1A_PAR	Total
PAR	NATL1A	3	3	7.433938274	0.02650819	0.015304511	0.065849995	NATL1A_PAR_3	Total	NATL1A_PAR	Total
PAR	NATL1A	6	3	7.728574833	0.028015288	0.016174634	0.069593833	NATL1A_PAR_6	Total	NATL1A_PAR	Total
PAR	NATL1A	9	3	7.981674337	0.022516402	0.012999851	0.055933844	NATL1A_PAR_9	Total	NATL1A_PAR	Total
PAR	NATL1A	12	3	8.354247343	0.064521641	0.037251587	0.16028064	NATL1A_PAR_12	Total	NATL1A_PAR	Total
PAR	NATL1A	14	3	8.203863004	0.025787144	0.014888214	0.064058816	NATL1A_PAR_14	Total	NATL1A_PAR	Total
PAR	NATL1A	18	3	8.064355605	0.023002994	0.013280785	0.057142606	NATL1A_PAR_18	Total	NATL1A_PAR	Total
PAR	NATL1A	21	3	8.265143325	0.031457399	0.018161938	0.07814451	NATL1A_PAR_21	Total	NATL1A_PAR	Total
PAR	NATL1A	24	3	8.253241161	0.033067137	0.01909132	0.082143321	NATL1A_PAR_24	Total	NATL1A_PAR	Total
PAR	NATL1A	30	3	8.526533465	0.008586094	0.004957184	0.02132904	NATL1A_PAR_30	Total	NATL1A_PAR	Total
PAR	NATL1A	33	3	8.356002052	0.013234292	0.007640822	0.032875803	NATL1A_PAR_33	Total	NATL1A_PAR	Total
PAR	NATL1A	36	3	8.542125842	0.009553277	0.005515587	0.023731655	NATL1A_PAR_36	Total	NATL1A_PAR	Total
PAR	NATL1A	42	3	8.61739854	0.012727533	0.007348244	0.031616943	NATL1A_PAR_42	Total	NATL1A_PAR	Total
PAR	NATL1A	45	3	8.653261751	0.009933171	0.005734919	0.024675364	NATL1A_PAR_45	Total	NATL1A_PAR	Total
PAR	NATL1A	48	3	8.676606841	0.010356407	0.005979274	0.02572674	NATL1A_PAR_48	Total	NATL1A_PAR	Total
PAR	NATL1A	51	3	8.67851303	0.013613365	0.00785968	0.033817473	NATL1A_PAR_51	Total	NATL1A_PAR	Total
PC	NATL1A	0	3	6.967976244	0.014834035	0.008564434	0.036849786	NATL1A_PC_0	Total	NATL1A_PC	Total
PC	NATL1A	3	3	6.954742904	0.038559663	0.022262432	0.095787512	NATL1A_PC_3	Total	NATL1A_PC	Total
PC	NATL1A	6	3	6.974117737	0.004211888	0.002431735	0.010462909	NATL1A_PC_6	Total	NATL1A_PC	Total
PC	NATL1A	9	3	6.994472208	0.018422766	0.010636389	0.045764687	NATL1A_PC_9	Total	NATL1A_PC	Total
PC	NATL1A	12	3	7.066546608	0.091150164	0.052625572	0.22642956	NATL1A_PC_12	Total	NATL1A_PC	Total
PC	NATL1A	14	3	6.959377836	0.025481929	0.014711998	0.06330062	NATL1A_PC_14	Total	NATL1A_PC	Total
PC	NATL1A	18	3	6.953532011	0.035708243	0.020616164	0.088704194	NATL1A_PC_18	Total	NATL1A_PC	Total
PC	NATL1A	21	3	6.979182111	0.024341682	0.014053677	0.06046809	NATL1A_PC_21	Total	NATL1A_PC	Total
PC	NATL1A	24	3	7.006352841	0.023382885	0.013500115	0.058086306	NATL1A_PC_24	Total	NATL1A_PC	Total
PC	NATL1A	30	3	7.138462201	0.027183735	0.015694536	0.06752814	NATL1A_PC_30	Total	NATL1A_PC	Total
PC	NATL1A	33	3	7.322273683	0.033274188	0.019210861	0.082657665	NATL1A_PC_33	Total	NATL1A_PC	Total
PC	NATL1A	36	3	7.625353509	0.02460195	0.014203942	0.061114631	NATL1A_PC_36	Total	NATL1A_PC	Total
PC	NATL1A	42	3	8.068644092	0.081393052	0.046992301	0.202191551	NATL1A_PC_42	Total	NATL1A_PC	Total
PC	NATL1A	45	3	8.188332144	0.026189288	0.015120392	0.065057797	NATL1A_PC_45	Total	NATL1A_PC	Total
PC	NATL1A	48	3	8.255803928	0.011731828	0.006773374	0.029143476	NATL1A_PC_48	Total	NATL1A_PC	Total
PC	NATL1A	51	3	8.303348482	0.021353454	0.012328423	0.053044922	NATL1A_PC_51	Total	NATL1A_PC	Total
PR	NATL1A	0	3	6.952555589	0.031615109	0.018252992	0.078536285	NATL1A_PR_0	Total	NATL1A_PR	Total
PR	NATL1A	3	3	7.194932844	0.011538658	0.006661847	0.028663615	NATL1A_PR_3	Total	NATL1A_PR	Total
PR	NATL1A	6	3	7.61555498	0.036814856	0.021255067	0.091453173	NATL1A_PR_6	Total	NATL1A_PR	Total
PR	NATL1A	9	3	7.919922001	0.014426462	0.008329122	0.03583732	NATL1A_PR_9	Total	NATL1A_PR	Total
PR	NATL1A	12	3	8.36977896	0.056114824	0.032397909	0.13939695	NATL1A_PR_12	Total	NATL1A_PR	Total
PR	NATL1A	14	3	8.219883979	0.037822524	0.021836844	0.093956359	NATL1A_PR_14	Total	NATL1A_PR	Total
PR	NATL1A	18	3	8.286251169	0.016845165	0.009725561	0.04184571	NATL1A_PR_18	Total	NATL1A_PR	Total
PR	NATL1A	21	3	8.309841621	0.057237591	0.033046139	0.142186059	NATL1A_PR_21	Total	NATL1A_PR	Total
PR	NATL1A	24	3	8.42352315	0.020965127	0.012104222	0.052080264	NATL1A_PR_24	Total	NATL1A_PR	Total
PR	NATL1A	30	3	8.380193782	0.013399429	0.007736164	0.033286027	NATL1A_PR_30	Total	NATL1A_PR	Total
PR	NATL1A	33	3	8.347339981	0.026343018	0.015209149	0.065439685	NATL1A_PR_33	Total	NATL1A_PR	Total
PR	NATL1A	36	3	8.508856156	0.050828089	0.029345611	0.126263973	NATL1A_PR_36	Total	NATL1A_PR	Total
PR	NATL1A	42	3	8.501283581	0.013413279	0.00774416	0.033320432	NATL1A_PR_42	Total	NATL1A_PR	Total
PR	NATL1A	45	3	8.566959477	0.017946579	0.010361462	0.044581775	NATL1A_PR_45	Total	NATL1A_PR	Total
PR	NATL1A	48	3	8.594790069	0.019896928	0.011487497	0.049426709	NATL1A_PR_48	Total	NATL1A_PR	Total
PR	NATL1A	51	3	8.597126703	0.004268983	0.002464699	0.010604742	NATL1A_PR_51	Total	NATL1A_PR	Total
PAC	NATL1A	0	3	6.097673238	0.039418074	0.022758036	0.097919925	NATL1A_PAC_0	pt	NATL1A_PAC	pt_c
PAC	NATL1A	3	3	7.576071058	0.108917676	0.062883649	0.270566506	NATL1A_PAC_3	pt	NATL1A_PAC	pt_c
PAC	NATL1A	6	3	7.369999233	0.101207128	0.058431962	0.251412442	NATL1A_PAC_6	pt	NATL1A_PAC	pt_c
PAC	NATL1A	9	3	7.484946136	0.167988438	0.09698817	0.417306413	NATL1A_PAC_9	pt	NATL1A_PAC	pt_c
PAC	NATL1A	12	3	6.968511043	0.117881402	0.068058859	0.292833637	NATL1A_PAC_12	pt	NATL1A_PAC	pt_c
PAC	NATL1A	14	3	6.851879369	0.124102894	0.071650839	0.308288679	NATL1A_PAC_14	pt	NATL1A_PAC	pt_c
PAC	NATL1A	18	3	7.379292607	0.04991709	0.028819646	0.124000927	NATL1A_PAC_18	pt	NATL1A_PAC	pt_c
PAC	NATL1A	21	3	7.067588612	0.053052586	0.030629925	0.13178993	NATL1A_PAC_21	pt	NATL1A_PAC	pt_c
PAC	NATL1A	24	3	7.088995326	0.009760444	0.005635195	0.024246286	NATL1A_PAC_24	pt	NATL1A_PAC	pt_c
PAC	NATL1A	30	3	7.321867413	0.030354912	0.017525417	0.075405781	NATL1A_PAC_30	pt	NATL1A_PAC	pt_c
PAC	NATL1A	33	3	7.330531892	0.105559625	0.060944878	0.262224644	NATL1A_PAC_33	pt	NATL1A_PAC	pt_c
PAC	NATL1A	36	3	7.506055014	0.013248989	0.007649307	0.032912314	NATL1A_PAC_36	pt	NATL1A_PAC	pt_c
PAC	NATL1A	42	3	8.081950556	0.044699699	0.025807383	0.111040208	NATL1A_PAC_42	pt	NATL1A_PAC	pt_c
PAC	NATL1A	45	3	8.20946889	0.05636282	0.03254109	0.140013008	NATL1A_PAC_45	pt	NATL1A_PAC	pt_c
PAC	NATL1A	48	3	8.102301505	0.050219776	0.028994401	0.12475284	NATL1A_PAC_48	pt	NATL1A_PAC	pt_c
PAC	NATL1A	51	3	8.255997924	0.141313897	0.081587617	0.351043182	NATL1A_PAC_51	pt	NATL1A_PAC	pt_c
PAR	NATL1A	0	3	6.780980685	0.049942963	0.028834583	0.124065199	NATL1A_PAR_0	pt	NATL1A_PAR	pt_r
PAR	NATL1A	3	3	7.809436467	0.007662617	0.004424014	0.019034997	NATL1A_PAR_3	pt	NATL1A_PAR	pt_r
PAR	NATL1A	6	3	7.906538136	0.054341014	0.031373799	0.134990562	NATL1A_PAR_6	pt	NATL1A_PAR	pt_r
PAR	NATL1A	9	3	8.129567365	0.026913765	0.01553867	0.066857499	NATL1A_PAR_9	pt	NATL1A_PAR	pt_r
PAR	NATL1A	12	3	7.685029133	0.085021735	0.049087321	0.211205697	NATL1A_PAR_12	pt	NATL1A_PAR	pt_r
PAR	NATL1A	14	3	7.417320872	0.070437803	0.040667284	0.174977202	NATL1A_PAR_14	pt	NATL1A_PAR	pt_r
PAR	NATL1A	18	3	7.702131494	0.019078097	0.011014745	0.047392621	NATL1A_PAR_18	pt	NATL1A_PAR	pt_r
PAR	NATL1A	21	3	7.80934525	0.017796321	0.010274711	0.044208511	NATL1A_PAR_21	pt	NATL1A_PAR	pt_r
PAR	NATL1A	24	3	7.606773663	0.244331345	0.141064768	0.606952708	NATL1A_PAR_24	pt	NATL1A_PAR	pt_r
PAR	NATL1A	30	3	7.768504973	0.04325911	0.024975659	0.107461586	NATL1A_PAR_30	pt	NATL1A_PAR	pt_r
PAR	NATL1A	33	3	7.521788715	0.150451225	0.086863055	0.373741561	NATL1A_PAR_33	pt	NATL1A_PAR	pt_r
PAR	NATL1A	36	3	7.525730544	0.071181889	0.041096883	0.176825616	NATL1A_PAR_36	pt	NATL1A_PAR	pt_r
PAR	NATL1A	42	3	7.390673727	0.130307948	0.075233329	0.323702889	NATL1A_PAR_42	pt	NATL1A_PAR	pt_r
PAR	NATL1A	45	3	7.089938831	0.061571571	0.035548363	0.152952263	NATL1A_PAR_45	pt	NATL1A_PAR	pt_r
PAR	NATL1A	48	3	6.96687502	0.069794874	0.040296089	0.173380078	NATL1A_PAR_48	pt	NATL1A_PAR	pt_r
PAR	NATL1A	51	3	6.304928826	0.128949149	0.074448826	0.320327444	NATL1A_PAR_51	pt	NATL1A_PAR	pt_r
PC	NATL1A	0	3	6.184172517	0.123372677	0.071229248	0.306474719	NATL1A_PC_0	pt	NATL1A_PC	pt_c
PC	NATL1A	3	3	7.680895457	0.187995361	0.108539172	0.467006366	NATL1A_PC_3	pt	NATL1A_PC	pt_c
PC	NATL1A	6	3	7.215149599	0.058233502	0.033621128	0.144660037	NATL1A_PC_6	pt	NATL1A_PC	pt_c
PC	NATL1A	9	3	7.355898058	0.005254389	0.003033623	0.013052625	NATL1A_PC_9	pt	NATL1A_PC	pt_c
PC	NATL1A	12	3	6.873678673	0.088835689	0.051289309	0.220680085	NATL1A_PC_12	pt	NATL1A_PC	pt_c
PC	NATL1A	14	3	6.555114439	0.056909407	0.032856661	0.141370804	NATL1A_PC_14	pt	NATL1A_PC	pt_c
PC	NATL1A	18	3	7.221256514	0.106697	0.061601542	0.265050043	NATL1A_PC_18	pt	NATL1A_PC	pt_c
PC	NATL1A	21	3	7.084114919	0.085154994	0.049164259	0.211536732	NATL1A_PC_21	pt	NATL1A_PC	pt_c
PC	NATL1A	24	3	6.948940462	0.022132393	0.012778143	0.054979913	NATL1A_PC_24	pt	NATL1A_PC	pt_c
PC	NATL1A	30	3	7.178211648	0.069606503	0.040187333	0.172912138	NATL1A_PC_30	pt	NATL1A_PC	pt_c
PC	NATL1A	33	3	7.077052836	0.123504792	0.071305525	0.306802912	NATL1A_PC_33	pt	NATL1A_PC	pt_c
PC	NATL1A	36	3	7.202865483	0.032930447	0.019012403	0.081803766	NATL1A_PC_36	pt	NATL1A_PC	pt_c
PC	NATL1A	42	3	7.9096795	0.023526451	0.013583003	0.058442943	NATL1A_PC_42	pt	NATL1A_PC	pt_c
PC	NATL1A	45	3	8.067955445	0.069714034	0.040249417	0.173179262	NATL1A_PC_45	pt	NATL1A_PC	pt_c
PC	NATL1A	48	3	8.083612489	0.006075499	0.003507691	0.015092375	NATL1A_PC_48	pt	NATL1A_PC	pt_c
PC	NATL1A	51	3	8.342478703	0.040250787	0.023238803	0.099988499	NATL1A_PC_51	pt	NATL1A_PC	pt_c
PR	NATL1A	0	3	6.780980685	0.049942963	0.028834583	0.124065199	NATL1A_PR_0	pt	NATL1A_PR	pt_r
PR	NATL1A	3	3	7.750241578	0.152885631	0.08826856	0.379788962	NATL1A_PR_3	pt	NATL1A_PR	pt_r
PR	NATL1A	6	3	7.906507024	0.035545326	0.020522103	0.088299484	NATL1A_PR_6	pt	NATL1A_PR	pt_r
PR	NATL1A	9	3	7.971619499	0.050913502	0.029394924	0.126476151	NATL1A_PR_9	pt	NATL1A_PR	pt_r
PR	NATL1A	12	3	7.676895617	0.41683094	0.240657455	1.035465457	NATL1A_PR_12	pt	NATL1A_PR	pt_r
PR	NATL1A	14	3	8.079184347	0.117389985	0.067775139	0.291612888	NATL1A_PR_14	pt	NATL1A_PR	pt_r
PR	NATL1A	18	3	7.657878131	0.02429612	0.014027372	0.060354909	NATL1A_PR_18	pt	NATL1A_PR	pt_r
PR	NATL1A	21	3	7.190963032	0.170317415	0.098332805	0.423091913	NATL1A_PR_21	pt	NATL1A_PR	pt_r
PR	NATL1A	24	3	7.550946064	0.045073119	0.026022978	0.111967835	NATL1A_PR_24	pt	NATL1A_PR	pt_r
PR	NATL1A	30	3	7.671745934	0.043254476	0.024972983	0.107450075	NATL1A_PR_30	pt	NATL1A_PR	pt_r
PR	NATL1A	33	3	7.528612362	0.082811641	0.047811323	0.20571552	NATL1A_PR_33	pt	NATL1A_PR	pt_r
PR	NATL1A	36	3	7.539133887	0.05778162	0.033360234	0.1435375	NATL1A_PR_36	pt	NATL1A_PR	pt_r
PR	NATL1A	42	3	7.40343779	0.019157056	0.011060331	0.047588765	NATL1A_PR_42	pt	NATL1A_PR	pt_r
PR	NATL1A	45	3	7.043871666	0.042275264	0.024407635	0.105017577	NATL1A_PR_45	pt	NATL1A_PR	pt_r
PR	NATL1A	48	3	7.055585183	0.040275096	0.023252837	0.100048884	NATL1A_PR_48	pt	NATL1A_PR	pt_r
PR	NATL1A	51	3	6.462869244	0.075110321	0.043364964	0.186584381	NATL1A_PR_51	pt	NATL1A_PR	pt_r