no,name,FL_value,pro,total,bac,phage_C,phage_R,lg_pro,lg_total,lg_bac,lg_phage_C,lg_phage_R,day,HOOH,PerCP-Cy5-5-A),SSC-A,type ,vbr,lg_vbr
1,P11,8350,173312975.7,143526315.8,0,0,0,8.238831079,8.156931537,0,0,0,12,0.006543967,2.902268761,0.054878049,P,0,0
2,P12,8489,174693295.6,153183333.3,0,0,0,8.242276238,8.185211516,0,0,0,12,0.007681493,2.993006993,0.055200824,P,0,0
3,P13,7853,155589667.2,131920175.4,0,0,0,8.191980752,8.12031122,0,0,0,12,0.006403375,2.834205934,0.051972062,P,0,0
4,P21,5180,102005645.9,95263377.19,0,79779275.88,0,8.00862421,7.978925974,0,7.90189009,0,42,0.007202098,3.519198664,0.063106796,PC,0.782106472,-0.10673412
5,P22,5866,118873156,137324561.4,18451405.43,77810037,0,8.075083793,8.137748221,7.266029452,7.891035622,0,42,0.006232468,3.904494382,0.064313248,PC,0.654563567,-0.184048171
6,P23,4556,101508730.7,122816886,21308155.24,86320269.41,0,8.006503397,8.089258082,7.328545852,7.936112787,0,42,0.00593365,3.796190476,0.065890667,PC,0.850372857,-0.07039061
7,P31,120,2278080.082,16868771.93,14590691.85,6847166.565,0,6.357568987,7.227083466,7.164075885,6.835510893,0,12,0.007560071,2.163157895,0.063416649,PAC,3.005674217,0.477941906
8,P32,121,2365316.304,18115029.24,15749712.94,10231194.96,0,6.373889225,7.258039039,7.197272642,7.00992636,0,12,0.007029653,2.014492754,0.060121926,PAC,4.325508155,0.636037135
9,P33,101,2205199.187,16862865.5,14657666.31,11484071.19,0,6.343447824,7.226931376,7.166064831,7.060095876,0,12,0.008167178,1.896434635,0.064375906,PAC,5.207725113,0.716648052
10,P41,7583,173865103.7,249399122.8,75534019.15,0,143807665.5,8.240212424,8.396894922,7.878142594,0,8.157782036,12,0.008346114,2.561889251,0.05249449,PR,1.903879432,0.279639442
11,P42,7047,157356476.8,255379386,98022909.18,0,26234192.99,8.196884623,8.407185838,7.991327588,0,7.418867709,12,0.006774029,2.573797678,0.050726079,PR,0.267633283,-0.572459879
12,P43,7256,159675414.3,201955701.8,42280287.41,0,28447041.56,8.203238052,8.305256119,7.626137931,0,7.454037107,12,0.00689545,2.551839465,0.050142103,PR,0.67282044,-0.172100824
13,P51,6752,98278781.99,233097368.4,134818586.4,0,0,7.992459765,8.367537371,8.129749769,0,0,12,0.007879601,2.320819113,0.04692492,PA,0,0
14,P52,6019,114400919.3,223440350.9,109039431.6,0,0,8.058429514,8.349161605,8.037583579,0,0,12,0.006869887,2.489130435,0.05388109,PA,0,0
15,P53,6939,132455504.5,229376315.8,96920811.29,0,0,8.122070011,8.360548573,7.986417041,0,0,12,0.009918201,2.364452424,0.057531381,PA,0,0
16,P61,7463,169282441.3,259454824.6,90172383.22,0,38625066.4,8.228611914,8.414061751,7.955073548,0,7.586869239,12,0.006224438,2.989528796,0.058165548,PAR,0.428346962,-0.368204309
17,P62,6858,141123913.9,230572368.4,89448454.5,0,54030054.02,8.149600613,8.362807261,7.951572841,0,7.732635402,12,0.005987986,3.007042254,0.05801558,PAR,0.604035635,-0.218937439
18,P63,6222,138308061.2,193140350.9,54832289.7,0,54397978.2,8.140847493,8.285873016,7.739036382,0,7.735582759,12,0.008473927,2.888316151,0.058338487,PAR,0.992079275,-0.003453623
19,P71,7627,95877025.24,115175438.6,19298413.35,128620980.4,0,7.981714551,8.061359875,7.285521604,8.109311816,0,42,0.006702037,3.885304659,0.06412089,PAC,1.34152035,0.127597265
20,P72,9085,131351248.5,109283771.9,0,107242672.4,0,8.118434205,8.038555676,0,8.030367628,0,42,0.006177583,4.114695341,0.064470493,PAC,0.816457199,-0.088066577
21,P73,3983,83233294.3,83635087.72,401793.4176,127694509.5,0,7.920297084,7.922388517,5.604002818,8.106172224,0,42,0.005988535,3.810283688,0.072431333,PAC,1.534175844,0.18587514